Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current
1642726479784,108.5714111328125
1642726479774,,0
1642726479744,,0
1642726479717,142.85708618164062,
1642726479621,182.85711669921875,
1642726479612,,0
1642726479587,,0
1642726479562,194.28573608398438,
1642726479476,245.71435546875,
1642726479468,,0
1642726479443,,0
1642726479418,274.2857666015625,
1642726479329,320,
1642726479320,,0
1642726479292,,0
1642726479266,342.85723876953125,
1642726479171,377.1429443359375,
1642726479164,,0
1642726479144,,0
1642726479120,405.71441650390625,
1642726479029,480,
1642726479022,,0
1642726479003,,0
1642726478997,480,
1642726478848,542.8570556640625,
1642726478838,,0
1642726478811,,0
1642726478787,554.2855834960938,
1642726478696,611.428466796875,
1642726478689,,0
1642726478674,,0
1642726478668,611.428466796875,
1642726478575,645.7141723632812,
1642726478565,,0
1642726478534,,0
1642726478507,674.28564453125,
1642726478403,725.71435546875,
1642726478396,,0.0625
1642726478386,,0.0625
1642726478379,725.71435546875,
1642726478281,800,
1642726478274,,0
1642726478265,,0
1642726478257,822.857177734375,
1642726478163,914.28564453125,
1642726478156,,0
1642726478146,,0
1642726478140,914.28564453125,
1642726478046,1040,
1642726478038,,0
1642726478029,,0
1642726478023,1097.142822265625,
1642726477930,1308.571044921875,
1642726477923,,0
1642726477913,,0
1642726477906,1394.28564453125,
1642726477811,1714.285400390625,
1642726477803,,0
1642726477784,,0
1642726477760,1845.7138671875,
1642726477662,2428.5712890625,
1642726477656,,0
1642726477647,,0
1642726477640,2428.5712890625,
1642726477543,2857.142578125,
1642726477537,,79.71875
1642726477527,,79.71875
1642726477520,2857.142578125,
1642726477386,2960.000732421875,
1642726477379,,0
1642726477340,,0
1642726477316,2960.000732421875,
1642726477128,3079.99951171875,
1642726477119,,0
1642726477083,,0
1642726477057,3079.99951171875,
1642726476804,3240.0009765625,
1642726476797,,0
1642726476786,,0
1642726476776,3240.0009765625,
1642726476446,3399.99951171875,
1642726476439,,0
1642726476414,,0
1642726476407,3399.99951171875,
1642726476131,3548.57177734375,
1642726476115,,0
1642726476091,,0
1642726476074,3548.57177734375,
1642726475811,3719.99951171875,
1642726475802,,0
1642726475767,,0
1642726475740,3719.99951171875,
1642726475500,3885.71484375,
1642726475493,,0
1642726475480,,0
1642726475472,3885.71484375,
1642726475212,4051.42822265625,
1642726475205,,0
1642726475194,,0
1642726475186,4051.42822265625,
1642726474914,4325.71484375,
1642726474907,,0
1642726474895,,0
1642726474884,4325.71484375,
1642726474649,4354.287109375,
1642726474642,,8.65625
1642726474632,,8.65625
1642726474621,4354.287109375,
1642726474435,4297.1435546875,
1642726474427,,9.75
1642726474394,,9.75
1642726474369,4297.1435546875,
1642726474214,4234.28564453125,
1642726474207,,12.84375
1642726474198,,13.625
1642726474191,4222.857421875,
1642726474097,4211.4287109375,
1642726474088,,6.90625
1642726474061,,6.90625
1642726474037,4211.4287109375,
1642726473909,4217.1435546875,
1642726473903,,7.125
1642726473879,,6.375
1642726473872,4211.42822265625,
1642726473792,4211.42919921875,
1642726473785,,9.125
1642726473759,,5.875
1642726473753,4211.42919921875,
1642726473675,4217.1435546875,
1642726473668,,6.90625
1642726473643,,8.03125
1642726473636,4211.4287109375,
1642726473558,4211.4296875,
1642726473552,,7.09375
1642726473527,,7.875
1642726473520,4217.1435546875,
1642726473443,4211.42919921875,
1642726473436,,7.71875
1642726473412,,6.75
1642726473406,4217.14306640625,
1642726473325,4222.85791015625,
1642726473318,,6.3125
1642726473293,,10.0625
1642726473286,4222.85791015625,
1642726473205,4222.8583984375,
1642726473198,,9.84375
1642726473173,,5.9375
1642726473166,4222.8583984375,
1642726473089,4228.57275390625,
1642726473083,,7.5625
1642726473052,,8.84375
1642726473045,4228.57177734375,
1642726472970,4234.28662109375,
1642726472963,,5.71875
1642726472932,,6.71875
1642726472925,4240.00048828125,
1642726472852,4251.4287109375,
1642726472845,,9.125
1642726472817,,5.21875
1642726472811,4251.4296875,
1642726472735,4262.85888671875,
1642726472727,,6.21875
1642726472703,,5.96875
1642726472696,4268.5732421875,
1642726472618,4280.001953125,
1642726472611,,6.71875
1642726472586,,4.53125
1642726472579,4285.71533203125,
1642726472498,4302.8583984375,
1642726472491,,4.65625
1642726472470,,6.28125
1642726472463,4320,
1642726472379,4342.857421875,
1642726472368,,4.3125
1642726472342,,4.1875
1642726472323,4342.8583984375,
1642726472227,4377.1435546875,
1642726472219,,4.78125
1642726472196,,3.4375
1642726472168,4388.572265625,
1642726472076,4417.14306640625,
1642726472064,,4.15625
1642726472031,,4.625
1642726472008,4434.2861328125,
1642726471912,4457.14306640625,
1642726471902,,7.375
1642726471860,,4.9375
1642726471843,4474.287109375,
1642726471752,4502.857421875,
1642726471742,,3.5625
1642726471719,,4.96875
1642726471694,4514.28662109375,
1642726471608,4520.00048828125,
1642726471599,,5.65625
1642726471572,,4.75
1642726471546,4531.4287109375,
1642726471452,4554.28564453125,
1642726471441,,4.53125
1642726471412,,4.53125
1642726471389,4554.28564453125,
1642726471244,4560.00146484375,
1642726471235,,6.25
1642726471217,,6.25
1642726471198,4560.00146484375,
1642726471064,4560.0009765625,
1642726471057,,8.5
1642726471047,,8.5
1642726471040,4560.0009765625,
1642726470949,4560,
1642726470941,,6.875
1642726470928,,7.65625
1642726470921,4560.0009765625,
1642726470833,4560.00048828125,
1642726470826,,10.125
1642726470809,,7.34375
1642726470802,4560.00048828125,
1642726470714,4560.0009765625,
1642726470707,,9.8125
1642726470692,,6.84375
1642726470685,4560.0009765625,
1642726470581,4554.2861328125,
1642726470575,,7.65625
1642726470565,,7.9375
1642726470558,4554.287109375,
1642726470465,4554.28564453125,
1642726470458,,6.15625
1642726470447,,6.15625
1642726470440,4554.28564453125,
1642726470349,4554.28564453125,
1642726470342,,5.71875
1642726470332,,9.8125
1642726470325,4554.28564453125,
1642726470228,4554.2861328125,
1642726470221,,7.34375
1642726470212,,10.15625
1642726470205,4554.28662109375,
1642726470108,4548.57177734375,
1642726470101,,6.78125
1642726470091,,7.8125
1642726470085,4554.28564453125,
1642726469988,4554.2861328125,
1642726469981,,7.25
1642726469971,,6
1642726469965,4548.572265625,
1642726469867,4554.28662109375,
1642726469861,,6.34375
1642726469852,,7.4375
1642726469845,4554.28564453125,
1642726469755,4554.2861328125,
1642726469747,,9.625
1642726469737,,6.71875
1642726469731,4554.2861328125,
1642726469639,4560.00048828125,
1642726469631,,10.125
1642726469622,,5.65625
1642726469615,4560.00048828125,
1642726469521,4560.0009765625,
1642726469514,,6.8125
1642726469503,,5.78125
1642726469497,4560.0009765625,
1642726469406,4560,
1642726469398,,6.125
1642726469388,,6.59375
1642726469381,4560,
1642726469289,4565.71484375,
1642726469282,,7.53125
1642726469272,,5.59375
1642726469265,4565.71484375,
1642726469168,4571.42919921875,
1642726469161,,9.875
1642726469151,,7.4375
1642726469145,4571.42919921875,
1642726469053,4565.71484375,
1642726469046,,8.28125
1642726469032,,7.46875
1642726469025,4565.71484375,
1642726468936,4565.7158203125,
1642726468929,,6.90625
1642726468907,,8
1642726468899,4565.71484375,
1642726468815,4571.4296875,
1642726468809,,6.21875
1642726468790,,8.96875
1642726468783,4571.4296875,
1642726468687,4571.4296875,
1642726468680,,6.625
1642726468671,,9.6875
1642726468664,4571.4296875,
1642726468572,4571.4296875,
1642726468565,,6.125
1642726468555,,8.3125
1642726468548,4571.4296875,
1642726468456,4571.4296875,
1642726468449,,6
1642726468439,,7.125
1642726468432,4571.4296875,
1642726468338,4571.4296875,
1642726468331,,7.90625
1642726468322,,6.46875
1642726468315,4571.4296875,
1642726468219,4577.1435546875,
1642726468212,,7.90625
1642726468201,,6.625
1642726468195,4577.1435546875,
1642726468098,4577.1435546875,
1642726468090,,6.1875
1642726468081,,7.53125
1642726468075,4577.1435546875,
1642726467978,4571.42919921875,
1642726467971,,6.3125
1642726467962,,10.125
1642726467955,4571.42919921875,
1642726467856,4577.1435546875,
1642726467849,,6.65625
1642726467838,,9.40625
1642726467831,4577.1435546875,
1642726467741,4577.1435546875,
1642726467733,,6.875
1642726467723,,7.375
1642726467716,4577.14404296875,
1642726467620,4571.42919921875,
1642726467613,,8.03125
1642726467603,,6.84375
1642726467597,4577.1435546875,
1642726467501,4577.1435546875,
1642726467494,,10.40625
1642726467484,,7.1875
1642726467477,4577.14404296875,
1642726467380,4582.857421875,
1642726467373,,7.3125
1642726467364,,6.21875
1642726467357,4577.1435546875,
1642726467257,4577.1435546875,
1642726467250,,6.1875
1642726467235,,7
1642726467227,4577.1435546875,
1642726467142,4577.1435546875,
1642726467135,,7.375
1642726467120,,9.8125
1642726467114,4577.1435546875,
1642726467026,4577.1435546875,
1642726467020,,7.1875
1642726466998,,7.40625
1642726466990,4577.1435546875,
1642726466905,4577.14404296875,
1642726466898,,6.9375
1642726466876,,7.0625
1642726466869,4577.14404296875,
1642726466786,4582.8583984375,
1642726466778,,9.8125
1642726466756,,7.59375
1642726466749,4582.8583984375,
1642726466657,4577.14404296875,
1642726466651,,8.0625
1642726466640,,7.125
1642726466633,4577.14306640625,
1642726466539,4577.1435546875,
1642726466531,,6.96875
1642726466522,,8.375
1642726466514,4577.1435546875,
1642726466419,4577.14404296875,
1642726466413,,5.875
1642726466403,,9
1642726466396,4577.14404296875,
1642726466299,4577.1435546875,
1642726466293,,6.90625
1642726466283,,8.125
1642726466276,4577.1435546875,
1642726466183,4577.14404296875,
1642726466176,,7.09375
1642726466167,,7.09375
1642726466161,4577.14404296875,
1642726466065,4577.1435546875,
1642726466059,,6.96875
1642726466049,,7.125
1642726466042,4577.1435546875,
1642726465948,4577.14453125,
1642726465941,,7.375
1642726465931,,9.1875
1642726465924,4577.1435546875,
1642726465832,4571.4296875,
1642726465825,,6.28125
1642726465816,,7.75
1642726465809,4571.4296875,
1642726465713,4571.4296875,
1642726465707,,5.5625
1642726465697,,7.625
1642726465690,4571.4296875,
1642726465592,4571.4296875,
1642726465584,,8.75
1642726465575,,7.03125
1642726465567,4571.4296875,
1642726465474,4571.4296875,
1642726465468,,8
1642726465458,,7.40625
1642726465451,4571.4296875,
1642726465359,4571.4296875,
1642726465352,,6.59375
1642726465342,,6.71875
1642726465335,4571.4296875,
1642726465244,4571.4296875,
1642726465236,,6.4375
1642726465227,,6.4375
1642726465220,4571.4296875,
1642726465123,4565.71484375,
1642726465117,,6.6875
1642726465107,,6.6875
1642726465100,4565.71484375,
1642726465008,4565.71484375,
1642726465001,,8
1642726464991,,6.90625
1642726464985,4565.71484375,
1642726464893,4565.71484375,
1642726464885,,6.78125
1642726464876,,6.9375
1642726464869,4565.71484375,
1642726464771,4565.71484375,
1642726464764,,6.46875
1642726464754,,9.25
1642726464747,4565.71484375,
1642726464654,4565.71533203125,
1642726464648,,6.53125
1642726464638,,8.90625
1642726464631,4565.71533203125,
1642726464528,4560.0009765625,
1642726464522,,6.5625
1642726464511,,7.3125
1642726464504,4560.0009765625,
1642726464407,4560.00146484375,
1642726464401,,7.4375
1642726464391,,7.125
1642726464384,4560.00146484375,
1642726464291,4560.0009765625,
1642726464278,,7
1642726464267,,7
1642726464261,4560.0009765625,
1642726464168,4565.71533203125,
1642726464161,,9.34375
1642726464152,,7.1875
1642726464145,4565.71435546875,
