Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity
1642727211675,0
1642727211669,,114.28570556640625
1642727211630,0,
1642727211614,,125.71426391601562
1642727211519,0,
1642727211510,,194.28570556640625
1642727211482,0,
1642727211457,,217.14288330078125
1642727211371,0,
1642727211362,,297.14288330078125
1642727211334,0,
1642727211307,,320
1642727211222,0,
1642727211214,,371.4285888671875
1642727211186,0,
1642727211160,,411.42864990234375
1642727211073,0,
1642727211063,,474.2857666015625
1642727211039,0,
1642727211010,,491.4285888671875
1642727210926,0,
1642727210912,,571.4285888671875
1642727210891,0,
1642727210878,,594.2857666015625
1642727210789,0,
1642727210780,,651.4287109375
1642727210768,0,
1642727210761,,668.5716552734375
1642727210670,0,
1642727210663,,731.428466796875
1642727210649,0,
1642727210629,,748.571533203125
1642727210533,0,
1642727210524,,805.71435546875
1642727210512,0,
1642727210502,,822.857421875
1642727210407,0,
1642727210398,,885.7144775390625
1642727210372,0,
1642727210345,,925.71435546875
1642727210249,0,
1642727210242,,988.5712890625
1642727210230,0,
1642727210220,,999.999755859375
1642727210128,0,
1642727210118,,1062.85693359375
1642727210089,0,
1642727210064,,1102.8568115234375
1642727209970,0,
1642727209961,,1165.714111328125
1642727209933,0,
1642727209909,,1205.714111328125
1642727209833,0,
1642727209822,,1262.857177734375
1642727209799,0,
1642727209790,,1262.857177734375
1642727209706,0,
1642727209695,,1342.857177734375
1642727209660,0,
1642727209635,,1382.857177734375
1642727209547,0,
1642727209537,,1445.714111328125
1642727209509,0,
1642727209485,,1457.142822265625
1642727209398,0,
1642727209389,,1520.000244140625
1642727209362,0,
1642727209336,,1560.000244140625
1642727209249,0,
1642727209239,,1622.857177734375
1642727209212,0,
1642727209186,,1662.857177734375
1642727209097,0,
1642727209088,,1719.99951171875
1642727209061,0,
1642727209036,,1760
1642727208943,0,
1642727208933,,1817.142822265625
1642727208905,0,
1642727208882,,1857.142822265625
1642727208799,0,
1642727208785,,1920
1642727208748,0,
1642727208722,,1960
1642727208637,0,
1642727208628,,2022.856689453125
