Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Input Voltage
1642730389520,9.5625
1642730389493,,4079.99951171875
1642730389481,,,12.25
1642730389473,7.46875,,
1642730389466,,4079.99951171875,
1642730389367,9.4375,,
1642730389359,,4074.28466796875,
1642730389348,,,12.0859375
1642730389341,11.84375,,
1642730389333,,4079.9990234375,
1642730389240,10.6875,,
1642730389232,,4074.28466796875,
1642730389220,,,12.171875
1642730389213,8.875,,
1642730389205,,4079.9990234375,
1642730389113,11.71875,,
1642730389105,,4079.9990234375,
1642730389094,,,12.1953125
1642730389087,7.9375,,
1642730389079,,4079.99853515625,
1642730388984,7.25,,
1642730388976,,4085.71337890625,
1642730388965,,,12.09375
1642730388957,10.0625,,
1642730388950,,4079.99951171875,
1642730388860,8.03125,,
1642730388852,,4085.712890625,
1642730388839,,,12.125
1642730388831,10.125,,
1642730388823,,4085.71337890625,
1642730388734,9.21875,,
1642730388726,,4085.7138671875,
1642730388714,,,12.1953125
1642730388707,7.78125,,
1642730388700,,4085.712890625,
1642730388604,7.15625,,
1642730388597,,4085.7138671875,
1642730388585,,,12.2109375
1642730388578,7.625,,
1642730388570,,4085.7138671875,
1642730388477,7.6875,,
1642730388470,,4085.71337890625,
1642730388458,,,12.0703125
1642730388451,10.90625,,
1642730388444,,4091.427734375,
1642730388350,6.90625,,
1642730388343,,4085.71337890625,
1642730388332,,,12.2265625
1642730388324,7.59375,,
1642730388316,,4091.427734375,
1642730388225,8.21875,,
1642730388217,,4091.427734375,
1642730388206,,,12.2109375
1642730388198,6.84375,,
1642730388191,,4091.427734375,
1642730388095,7.78125,,
1642730388087,,4091.427734375,
1642730388075,,,12.21875
1642730388068,8.5625,,
1642730388061,,4091.427734375,
1642730387969,6.96875,,
1642730387961,,4091.42724609375,
1642730387950,,,12.21875
1642730387943,7.375,,
1642730387935,,4091.427734375,
1642730387844,9.21875,,
1642730387836,,4091.427734375,
1642730387825,,,12.296875
1642730387818,6.78125,,
1642730387810,,4091.427734375,
1642730387719,7.09375,,
1642730387711,,4091.42724609375,
1642730387699,,,12.2421875
1642730387692,6.9375,,
1642730387684,,4091.42724609375,
1642730387590,7.53125,,
1642730387582,,4091.42822265625,
1642730387571,,,12.265625
1642730387564,7.9375,,
1642730387556,,4091.427734375,
1642730387466,6.21875,,
1642730387458,,4091.427734375,
1642730387447,,,12.1953125
1642730387440,7.9375,,
1642730387432,,4085.712890625,
1642730387342,8.21875,,
1642730387334,,4079.99853515625,
1642730387324,,,12.21875
1642730387316,7.21875,,
1642730387308,,4085.71337890625,
1642730387216,7.5625,,
1642730387208,,4085.71337890625,
1642730387198,,,12.203125
1642730387190,8.34375,,
1642730387182,,4085.71337890625,
1642730387084,11.0625,,
1642730387076,,4085.712890625,
1642730387065,,,12.2109375
1642730387058,8.75,,
1642730387051,,4079.9990234375,
1642730386960,8.5625,,
1642730386953,,4079.99853515625,
1642730386941,,,12.2578125
1642730386934,6.96875,,
1642730386926,,4079.99951171875,
1642730386841,8.15625,,
1642730386834,,4079.9990234375,
1642730386810,,,12.15625
1642730386804,10.78125,,
1642730386796,,4079.9990234375,
1642730386718,10.25,,
1642730386695,,4079.9990234375,
1642730386682,,,12.1953125
1642730386675,8.71875,,
1642730386668,,4079.9990234375,
1642730386571,11.5,,
1642730386563,,4079.99951171875,
1642730386552,,,12.3125
1642730386545,6.53125,,
1642730386537,,4074.28466796875,
1642730386439,7.65625,,
1642730386431,,4079.9990234375,
1642730386420,,,12.109375
1642730386413,10.6875,,
1642730386405,,4079.9990234375,
1642730386315,7.09375,,
1642730386308,,4074.28466796875,
1642730386297,,,12.1953125
1642730386289,9.25,,
1642730386281,,4074.28466796875,
1642730386192,8.375,,
1642730386183,,4079.9990234375,
1642730386173,,,12.3359375
1642730386165,7.3125,,
1642730386157,,4074.28515625,
1642730386061,8.4375,,
1642730386053,,4079.9990234375,
1642730386042,,,12.375
1642730386035,6.6875,,
1642730386027,,4079.9990234375,
1642730385935,8.46875,,
1642730385927,,4074.28515625,
1642730385916,,,12.25
1642730385909,10.375,,
1642730385901,,4074.28515625,
1642730385812,8.03125,,
1642730385804,,4074.28466796875,
1642730385792,,,12.3046875
1642730385785,7.40625,,
1642730385777,,4074.28515625,
1642730385685,8.75,,
1642730385677,,4085.712890625,
1642730385666,,,12.2578125
1642730385659,7.5,,
1642730385652,,4085.7138671875,
1642730385561,7.84375,,
1642730385553,,4085.71337890625,
1642730385542,,,12.34375
1642730385535,6.09375,,
1642730385528,,4091.427734375,
1642730385435,7.84375,,
1642730385428,,4085.71337890625,
1642730385416,,,12.2265625
1642730385409,9.65625,,
1642730385402,,4085.71337890625,
1642730385306,5.96875,,
1642730385298,,4085.71337890625,
1642730385287,,,12.234375
1642730385279,7.1875,,
1642730385272,,4079.99853515625,
1642730385173,9.09375,,
1642730385166,,4079.9990234375,
1642730385155,,,12.2890625
1642730385147,7.5625,,
1642730385140,,4079.9990234375,
1642730385046,9.03125,,
1642730385038,,4079.9990234375,
1642730385027,,,12.1328125
1642730385019,9.84375,,
1642730385012,,4079.99853515625,
1642730384919,10.0625,,
1642730384911,,4079.9990234375,
1642730384900,,,12.1875
1642730384893,7.96875,,
1642730384886,,4079.9990234375,
1642730384795,11.75,,
1642730384788,,4074.28466796875,
1642730384776,,,12.25
1642730384769,7.375,,
1642730384762,,4079.99853515625,
1642730384669,9.71875,,
1642730384661,,4074.28466796875,
1642730384650,,,12.046875
1642730384643,11.8125,,
1642730384636,,4074.28466796875,
1642730384537,8.3125,,
1642730384530,,4074.28466796875,
1642730384518,,,12.078125
1642730384512,11.625,,
1642730384504,,4074.28466796875,
1642730384413,10.375,,
1642730384406,,4079.9990234375,
1642730384395,,,12.1640625
1642730384388,9.25,,
1642730384380,,4079.9990234375,
1642730384287,10.71875,,
1642730384279,,4079.9990234375,
1642730384268,,,12.2421875
1642730384261,7.1875,,
1642730384253,,4085.712890625,
1642730384169,9.09375,,
1642730384161,,4079.9990234375,
1642730384139,,,12.0625
1642730384131,10.9375,,
1642730384123,,4085.71337890625,
1642730384051,8.71875,,
1642730384044,,4085.71337890625,
1642730384012,,,12.234375
1642730384005,8.34375,,
1642730383997,,4079.99951171875,
1642730383923,7.875,,
1642730383896,,4079.9990234375,
1642730383884,,,12.2109375
1642730383877,8.375,,
1642730383869,,4079.9990234375,
1642730383779,7.4375,,
1642730383771,,4079.99853515625,
1642730383760,,,12.1875
1642730383753,7.78125,,
1642730383745,,4079.99951171875,
1642730383653,8.125,,
1642730383645,,4079.9990234375,
1642730383634,,,12.0625
1642730383627,12.28125,,
1642730383619,,4079.9990234375,
1642730383524,10.75,,
1642730383516,,4079.99951171875,
1642730383505,,,12.2109375
1642730383498,8.5625,,
1642730383490,,4079.99853515625,
1642730383396,7.40625,,
1642730383389,,4074.28466796875,
1642730383377,,,12.1953125
1642730383370,8.71875,,
1642730383363,,4079.9990234375,
1642730383267,7.53125,,
1642730383259,,4074.28466796875,
1642730383248,,,12.1484375
1642730383241,8.75,,
1642730383233,,4074.28466796875,
1642730383143,10.375,,
1642730383135,,4074.28466796875,
1642730383124,,,12.1796875
1642730383117,8.78125,,
1642730383109,,4068.56982421875,
1642730383014,11.40625,,
1642730383006,,4062.85595703125,
1642730382994,,,12.234375
1642730382987,7.84375,,
1642730382979,,4062.85595703125,
1642730382887,9.96875,,
1642730382879,,4045.712890625,
1642730382868,,,12.0546875
1642730382861,11.375,,
1642730382853,,4039.99853515625,
1642730382763,8.625,,
1642730382755,,4011.42724609375,
1642730382744,,,12.0859375
1642730382737,11.84375,,
1642730382729,,4011.42724609375,
1642730382638,9.3125,,
1642730382629,,3982.857421875,
1642730382618,,,12.0078125
1642730382611,11.90625,,
1642730382603,,3971.4287109375,
1642730382513,11.4375,,
1642730382505,,3920.00146484375,
1642730382494,,,11.9765625
1642730382487,13.125,,
1642730382479,,3902.85791015625,
1642730382387,11.21875,,
1642730382379,,3839.99951171875,
1642730382368,,,11.984375
1642730382361,14.09375,,
1642730382354,,3805.71484375,
1642730382257,17.21875,,
1642730382249,,3668.57177734375,
1642730382238,,,11.65625
1642730382230,20.9375,,
1642730382223,,3668.57177734375,
1642730382132,22,,
1642730382124,,3725.71435546875,
1642730382113,,,11.640625
1642730382105,22.625,,
1642730382098,,3771.427734375,
1642730382001,29,,
1642730381994,,4017.14208984375,
1642730381982,,,11.078125
1642730381975,38.34375,,
1642730381968,,4017.14208984375,
1642730381878,7.34375,,
1642730381870,,4068.5703125,
1642730381858,,,12.171875
1642730381851,9.625,,
1642730381844,,4068.5703125,
1642730381758,8.1875,,
1642730381750,,4062.85546875,
1642730381735,,,12.171875
1642730381728,11.90625,,
