Timestamp,Header,Source,Level,Message
19.556681,0,TeleopInit,I,Starting Teleop
19.559553,0,DriveSubsys,I,0.000,0.000,0.000,0.000,0.000,0.088 
19.576155,0,DriveSubsys,I,0.000,0.000,0.000,0.000,0.000,0.088 
19.576553,1,SwerveFrontLeft,I,desiredAngle,turnEncVolts,turnEncAngle,minTurnRads,turnNeoPidRefPos,turnNeoEncoderPos,turnOutputDutyCyc,drivePidRefSpeed,driveEncVelocity,driveOutputDutyCyc
19.576574,0,SwerveFrontLeft,I,0.000,4.125,4.171,-1.030,3.142,4.171,0.000,0.000,0.000,0.000 
19.576740,1,SwerveFrontRight,I,desiredAngle,turnEncVolts,turnEncAngle,minTurnRads,turnNeoPidRefPos,turnNeoEncoderPos,turnOutputDutyCyc,drivePidRefSpeed,driveEncVelocity,driveOutputDutyCyc
19.576757,0,SwerveFrontRight,I,0.000,1.226,3.541,-0.400,3.143,3.543,0.000,0.000,-0.000,0.000 
19.576916,1,SwerveRearRight,I,desiredAngle,turnEncVolts,turnEncAngle,minTurnRads,turnNeoPidRefPos,turnNeoEncoderPos,turnOutputDutyCyc,drivePidRefSpeed,driveEncVelocity,driveOutputDutyCyc
19.576933,0,SwerveRearRight,I,0.000,0.702,6.054,-2.912,3.143,6.055,0.000,0.000,-0.000,0.000 
19.577087,1,SwerveRearLeft,I,desiredAngle,turnEncVolts,turnEncAngle,minTurnRads,turnNeoPidRefPos,turnNeoEncoderPos,turnOutputDutyCyc,drivePidRefSpeed,driveEncVelocity,driveOutputDutyCyc
19.577105,0,SwerveRearLeft,I,0.000,1.508,5.791,-2.649,3.140,5.789,0.000,0.000,0.000,0.000 
19.596155,0,DriveSubsys,I,0.000,0.000,0.000,0.000,0.000,0.088 
19.596436,0,SwerveFrontLeft,I,0.000,4.121,4.173,-1.031,3.140,4.171,0.000,0.000,0.000,0.000 
19.596582,0,SwerveFrontRight,I,0.000,1.226,3.541,-0.400,3.143,3.543,0.000,0.000,-0.000,0.000 
19.596729,0,SwerveRearRight,I,0.000,0.702,6.054,-2.912,3.143,6.055,0.000,0.000,-0.000,0.000 
19.596863,0,SwerveRearLeft,I,0.000,1.509,5.789,-2.648,3.142,5.789,0.000,0.000,0.000,0.000 
19.616131,0,DriveSubsys,I,0.000,0.000,0.000,0.000,0.000,0.088 
19.616411,0,SwerveFrontLeft,I,0.000,4.121,4.171,-1.030,3.142,4.171,0.000,0.000,0.000,0.000 
19.616562,0,SwerveFrontRight,I,0.000,1.226,3.543,-0.401,3.142,3.543,0.000,0.000,-0.000,0.000 
19.616701,0,SwerveRearRight,I,0.000,0.701,6.052,-2.910,3.145,6.055,0.000,0.000,-0.000,0.000 
19.616833,0,SwerveRearLeft,I,0.000,1.508,5.791,-2.649,3.140,5.789,0.000,0.000,0.000,0.000 
19.636106,0,DriveSubsys,I,0.000,0.000,0.000,0.000,0.000,0.088 
19.636372,0,SwerveFrontLeft,I,0.000,4.124,4.171,-1.030,3.142,4.171,0.000,0.000,0.000,0.000 
19.636496,0,SwerveFrontRight,I,0.000,1.226,3.543,-0.401,3.142,3.543,0.000,0.000,-0.000,0.000 
19.636612,0,SwerveRearRight,I,0.000,0.701,6.055,-2.914,3.142,6.055,0.000,0.000,-0.000,0.000 
19.636723,0,SwerveRearLeft,I,0.000,1.508,5.789,-2.648,3.142,5.789,0.000,0.000,0.000,0.000 
19.656193,0,DriveSubsys,I,0.000,0.000,0.000,0.000,0.000,0.088 
19.656466,0,SwerveFrontLeft,I,0.000,4.122,4.171,-1.030,3.142,4.171,0.000,0.000,0.000,0.000 
19.656672,0,SwerveFrontRight,I,0.000,1.226,3.543,-0.401,3.142,3.543,0.000,0.000,-0.000,0.000 
19.656815,0,SwerveRearRight,I,0.000,0.702,6.054,-2.912,3.143,6.055,0.000,0.000,-0.000,0.000 
19.656946,0,SwerveRearLeft,I,0.000,1.508,5.791,-2.649,3.140,5.789,0.000,0.000,0.000,0.000 
19.676138,0,DriveSubsys,I,0.000,0.000,0.000,0.000,0.000,0.088 
19.676472,0,SwerveFrontLeft,I,0.000,4.122,4.173,-1.031,3.140,4.171,0.000,0.000,0.000,0.000 
19.676619,0,SwerveFrontRight,I,0.000,1.226,3.543,-0.401,3.142,3.543,0.000,0.000,-0.000,0.000 
19.676760,0,SwerveRearRight,I,0.000,0.699,6.054,-2.912,3.143,6.055,0.000,0.000,-0.000,0.000 
19.676889,0,SwerveRearLeft,I,0.000,1.509,5.791,-2.649,3.140,5.789,0.000,0.000,0.000,0.000 
19.696260,0,DriveSubsys,I,0.000,0.000,0.000,0.000,0.000,0.088 
19.696535,0,SwerveFrontLeft,I,0.000,4.121,4.171,-1.030,3.142,4.171,0.000,0.000,0.000,0.000 
19.696684,0,SwerveFrontRight,I,0.000,1.226,3.543,-0.401,3.142,3.543,0.000,0.000,-0.000,0.000 
19.696823,0,SwerveRearRight,I,0.000,0.702,6.054,-2.912,3.143,6.055,0.000,0.000,-0.000,0.000 
