Timestamp,Level,Function,Line,Message
1.229110,I,DisabledInit,43,Disabling
Timestamp,Level,Function,Line,Message
1.239778,I,DriveSubsystem::Periodic,117,InputX,InputY,InputRot,OdoX,OdoY,OdoRot
1.239967,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.286001,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.292236,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.294803,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.303745,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.323558,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.343488,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.363168,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.383439,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.402862,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.422900,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.443049,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.463051,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.482857,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.502934,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.522870,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.542849,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.563140,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.582850,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.602877,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.622924,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.642860,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.662839,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.682875,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.702893,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.722927,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.743021,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.762855,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.782934,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.802859,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.822891,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.842941,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.862835,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.882848,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.902946,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.923120,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.943019,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.962885,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
1.982922,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.002907,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.022838,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.042924,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.062841,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.082887,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.103031,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.122884,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.142931,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.162925,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.182867,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.203239,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.222913,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.242939,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.262952,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.283109,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.302876,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.322869,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.342882,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.363096,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.383067,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.403029,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.423031,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.443005,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.463044,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.482982,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.502885,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.523184,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.542904,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.563014,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.582901,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.603271,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.623079,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.642986,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.663097,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.683041,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.703124,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.723011,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.742973,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.762996,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.783132,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.803124,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.823115,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.843152,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.863804,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.883145,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.903149,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.923216,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.943125,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.963162,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
2.983089,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.003055,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.023088,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.043090,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.063070,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.083206,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.103115,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.123121,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.143319,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.163162,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.183108,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.203096,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.223076,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.243186,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.263124,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.283130,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.303149,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.323135,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.343144,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.363164,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.383075,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.403063,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.423019,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.443058,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.463103,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.483254,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.502994,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.523240,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.543117,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.563674,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.583076,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.603110,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.623180,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.643111,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.663265,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.683139,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.703052,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.723344,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.743193,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.763044,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.783136,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.803114,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.823155,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.843990,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.863431,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.883056,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.903034,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.923150,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.943025,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.963138,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
3.983045,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.003123,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.023131,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.043147,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.063089,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.083122,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.103038,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.123086,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.143048,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.162992,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.182977,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.203001,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.223138,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.242999,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.263209,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.283154,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.303214,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.323313,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.343134,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.363115,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.383041,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.403184,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.423137,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.443139,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.463134,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.483177,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.503172,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.523164,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.543067,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.563098,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.583092,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.603145,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.623125,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.643060,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.663108,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.683081,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.703020,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.723516,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.743106,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.763126,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.783321,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.803128,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.823107,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.843150,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.863241,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.000
4.883367,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.903134,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.924436,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.943166,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.963131,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
4.983246,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.003140,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.023099,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.043140,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.063788,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.083115,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.103095,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.123506,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.143058,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.163213,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.183171,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.203183,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.223015,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.243203,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.263143,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.283050,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.303155,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.323144,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.343100,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.363306,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.383109,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.403131,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.423162,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.443194,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.463070,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.483092,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.503091,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.523227,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.543061,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.563115,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.583037,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.602914,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
